Q20,Q30,Q40
1.775814783700579085e+02,4.468503717629657146e+00,1.120388727626632175e+02
1.800666868425424809e+02,5.086538535078980239e+00,1.131590131081362216e+02
1.825907922074214014e+02,5.584802965212833925e+00,1.142503724376511656e+02
1.851199469839080791e+02,5.922226954623313055e+00,1.153905729663557480e+02
1.876248655985007758e+02,6.110818397161774662e+00,1.166166052775660376e+02
1.901036709686499933e+02,6.173404953699168196e+00,1.179088524065361554e+02
1.925258087009305825e+02,6.130670313296931795e+00,1.193078936926282410e+02
1.948862458057494109e+02,6.006595952415441531e+00,1.208076845554145251e+02
1.972339986032972661e+02,5.869668876398949742e+00,1.223305668879691552e+02
1.995562915107080357e+02,5.727945074241496570e+00,1.238970216585213961e+02
2.018997224733082021e+02,5.603793063030351185e+00,1.254400410434011661e+02
2.043232342697875765e+02,5.560145444469862142e+00,1.268679669266552565e+02
2.067968906238793068e+02,5.591581340103449982e+00,1.282190916506170595e+02
2.092680883348842258e+02,5.554479492936429175e+00,1.295880226392189059e+02
2.117960249444797967e+02,5.519995944949748434e+00,1.308661570416410598e+02
2.143239720014763350e+02,5.477376066370585050e+00,1.321625607178448263e+02
2.167758775994713574e+02,5.082663206051712734e+00,1.335615147021245548e+02
2.193802888616731366e+02,4.510249413088371462e+00,1.346054925649194729e+02
2.221825622075359377e+02,4.764201197313004954e+00,1.352125056427802576e+02
2.246458567120629652e+02,5.998169205967028184e+00,1.361043805493077343e+02
2.268707132053644671e+02,6.912202480896931789e+00,1.377421537543233114e+02
2.292188862027854270e+02,7.675664087024760995e+00,1.393035604770466307e+02
2.311911600285092447e+02,8.235103959913434579e+00,1.413963238747795401e+02
2.329411696575740791e+02,8.395349770176043336e+00,1.437498194311851307e+02
2.350797801501412323e+02,8.000000003668155557e+00,1.457360104079210998e+02
2.371663732479308067e+02,8.000000002188402348e+00,1.478265117298897735e+02
2.394558377074168618e+02,8.134330151301231382e+00,1.497013205959117954e+02
2.419781533347712923e+02,8.032403159190256048e+00,1.512682206084111840e+02
2.442805524781957160e+02,7.499940812571126436e+00,1.530844402693178949e+02
2.459008741920390264e+02,7.340389396951555234e+00,1.555914958298250497e+02
2.479984503410229877e+02,7.614193040999523987e+00,1.577168215802828968e+02
2.505418957949082710e+02,8.169284232908745835e+00,1.592223077253795225e+02
2.531796472339184731e+02,9.404097308627980212e+00,1.600000000027703209e+02
2.560026417574432003e+02,9.606214664673927928e+00,1.610504718994013729e+02
2.588394008585169672e+02,9.787205917997695792e+00,1.620706261039707954e+02
