q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
1400.0	44000.0	1043260.0	-1885.555931	5.275	4.90524e-06	-1.31968e-07	5.81235e-09
1400.0	48000.0	1151279.0	-1885.82715	5.386	4.84102e-06	-1.31339e-07	5.2356e-09
1400.0	52000.0	1269201.0	-1885.76193	5.737	4.82083e-06	-1.2997e-07	4.74107e-09
1600.0	-0.0	797.9562	-1916.401691	3.724	3.41079e-06	2.05506e-15	4.71572e-08
1600.0	4000.0	445.3094	-1915.068384	3.61	3.78354e-06	1.18376e-08	4.75161e-08
1600.0	8000.0	88993.28	-1910.315624	2.872	3.30165e-06	-1.25272e-07	6.62422e-09
1600.0	12000.0	193639.7	-1905.969053	2.769	4.28854e-06	-1.70488e-07	7.79776e-09
1600.0	16000.0	357994.1	-1901.029061	3.001	6.21335e-06	-2.32271e-07	9.28611e-09
1600.0	20000.0	465257.6	-1896.16286	2.438	9.11424e-06	-3.18156e-07	1.3175e-08
1600.0	24000.0	571361.5	-1891.816161	2.761	7.42264e-06	-2.61456e-07	9.86885e-09
1600.0	28000.0	622383.4	-1888.353026	2.773	1.0147e-05	-3.37831e-07	1.19832e-08
1600.0	32000.0	730022.2	-1885.455645	2.889	7.04118e-06	-2.43351e-07	8.90348e-09
1600.0	36000.0	964725.1	-1883.067471	2.91	8.21432e-06	-2.74431e-07	9.58908e-09
1600.0	40000.0	1077776.0	-1880.987	3.081	6.51938e-06	-2.2243e-07	7.93768e-09
1600.0	44000.0	1045081.0	-1884.322772	5.123	5.16125e-06	-1.32965e-07	5.72464e-09
1600.0	48000.0	1157834.0	-1884.489529	5.355	4.98286e-06	-1.32386e-07	5.13557e-09
1600.0	52000.0	1281204.0	-1884.475587	5.681	4.8871e-06	-1.33055e-07	4.84521e-09
1800.0	-0.0	9967.871	-1915.337922	3.014	1.26459e-05	-3.278e-15	4.75616e-08
1800.0	4000.0	8593.697	-1914.735796	3.052	1.06063e-05	-3.16927e-09	4.57954e-08
