Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
56.0	44.0	0.01723	-0.0179	0.02445	-1841.464342	False
56.0	48.0	0.01465	-0.01474	0.035	-1842.419503	False
56.0	52.0	0.01545	-0.018	0.03746	-1843.234776	False
56.0	56.0	0.01667	-0.02116	0.0407	-1842.73972	False
56.0	60.0	0.01407	-0.02004	0.03608	-1841.243144	False
60.0	0.0	0.01149	1.636e-08	0.03757	-1872.674894	False
60.0	4.0	0.01193	-0.00439	0.04006	-1872.968516	False
60.0	8.0	0.01457	-0.009974	0.04725	-1873.800262	False
60.0	12.0	0.01609	-0.01176	0.0465	-1874.296881	False
60.0	16.0	0.01599	-0.01365	0.05255	-1869.866461	False
60.0	20.0	0.01599	-0.006062	0.024	-1857.608161	False
60.0	24.0	0.01615	-0.006131	0.03412	-1851.866282	False
60.0	28.0	0.01462	-0.02361	0.0616	-1845.690216	False
60.0	32.0	0.01542	-0.02203	0.05072	-1839.186265	False
60.0	36.0	0.01675	-0.02499	0.05507	-1834.118628	False
60.0	40.0	0.01268	-0.01227	0.0179	-1840.632102	False
60.0	44.0	0.01361	-0.01328	0.01846	-1841.857682	False
60.0	48.0	0.013933693857510976	-0.012873474405256768	0.028984244750784427	-1842.4248667330883	True
60.0	52.0	0.01353	-0.01569	0.03256	-1843.009776	False
60.0	56.0	0.01517	-0.01876	0.03626	-1843.358922	False
60.0	60.0	0.01444	-0.01999	0.03579	-1842.373916	False
64.0	0.0	0.009852	5.803e-08	0.03433	-1871.538441	False
64.0	4.0	0.01052	-0.003994	0.0369	-1871.749904	False
64.0	8.0	0.01244	-0.00759	0.04286	-1872.627746	False
64.0	12.0	0.01903	-0.0152	0.05531	-1873.059021	False
64.0	16.0	0.01941	-0.01688	0.05011	-1870.839529	False
64.0	20.0	0.01677	-0.02287	0.07012	-1864.084436	False
64.0	24.0	0.01792	-0.005784	0.02473	-1853.714715	False
64.0	28.0	0.01317	-0.01898	0.03501	-1845.940905	False
64.0	32.0	0.01458	-0.02092	0.04932	-1841.394321	False
64.0	36.0	0.01714	-0.02443	0.0525	-1835.863213	False
64.0	40.0	0.01156	-0.01094	0.01634	-1840.163172	False
64.0	44.0	0.01267	-0.01213	0.01705	-1841.828471	False
64.0	48.0	0.01436	-0.009511	0.02862	-1842.615475	False
64.0	52.0	0.01645	-0.01991	0.04035	-1842.461037	False
64.0	56.0	0.01343	-0.0166	0.03212	-1843.091634	False
64.0	60.0	0.01498	-0.02048	0.03657	-1842.86631	False
68.0	0.0	0.008757	-2.62e-09	0.03348	-1871.387153	False
68.0	4.0	0.009276	-0.003846	0.03627	-1871.014154	False
68.0	8.0	0.01065	-0.00657	0.04105	-1871.369201	False
68.0	12.0	0.01588	-0.01156	0.05141	-1872.200137	False
68.0	16.0	0.02022	-0.01625	0.04533	-1872.133202	False
68.0	20.0	0.03617	-0.04527	0.09625	-1865.393314	False
68.0	24.0	0.01871	-0.006867	0.02185	-1855.624086	False
68.0	28.0	0.01549	-0.007875	0.03015	-1850.113682	False
68.0	32.0	0.01424	-0.02199	0.05306	-1843.766574	False
68.0	36.0	0.01625	-0.02246	0.04815	-1837.737941	False
68.0	40.0	0.01039	-0.00959	0.01494	-1839.433567	False
68.0	44.0	0.01166	-0.01075	0.01593	-1841.47728	False
68.0	48.0	0.01328	-0.008554	0.02639	-1842.878179	False
68.0	52.0	0.01251	-0.01106	0.02893	-1843.362004	False
68.0	56.0	0.01484	-0.01862	0.03525	-1843.112675	False
