       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      156.00       24.00       24.00    -1842.1430        0.8192        0.0843       -0.1379        0.4027
      100.00      156.00       24.00       28.00    -1837.6760        0.9127        0.1196       -0.1661        0.6820
      100.00      156.00       24.00       32.00    -1828.3590        0.8877        0.1510       -0.2605        0.7538
      100.00      156.00       24.00       36.00    -1845.2640        2.4278        0.1530       -0.1777        0.2185
      100.00      156.00       24.00       40.00    -1844.8680        2.4202        0.1193       -0.1427        0.1864
      100.00      156.00       24.00       44.00    -1841.4650        2.4489        0.1851       -0.2774        0.5586
      100.00      156.00       24.00       48.00    -1835.4570        0.9330        0.2348       -0.4168        0.7644
      100.00      156.00       24.00       52.00    -1834.0900        0.8862        0.1428       -0.2512        0.4632
      100.00      156.00       24.00       56.00    -1829.7480        0.8582        0.1250       -0.2194        0.4045
      100.00      156.00       24.00       60.00    -1825.1050        0.7064        0.1743       -0.3108        0.5686
      100.00      156.00       28.00        0.00    -1889.9520        1.9631        0.1220        0.0000        0.1865
      100.00      156.00       28.00        4.00    -1886.1740        1.5161        0.1774       -0.0844        0.3178
      100.00      156.00       28.00        8.00    -1876.0380        1.1200        0.1253       -0.1550        0.7743
      100.00      156.00       28.00       12.00    -1867.6260        1.0429        0.1029       -0.0237        0.7070
      100.00      156.00       28.00       16.00    -1861.1420        0.8572        0.1057       -0.1869        0.8712
      100.00      156.00       28.00       20.00    -1845.2250        1.3353        0.1141       -0.1837        0.3180
      100.00      156.00       28.00       24.00    -1843.3960        1.0433        0.0786       -0.0927        0.4562
      100.00      156.00       28.00       28.00    -1839.6170        0.7833        0.1378       -0.2235        0.7364
      100.00      156.00       28.00       32.00    -1831.7620        0.8217        0.1168       -0.1686        0.5482
      100.00      156.00       28.00       36.00    -1823.1380        0.8592        0.1787       -0.3300        0.8112
      100.00      156.00       28.00       40.00    -1846.4320        2.4726        0.1366       -0.1546        0.1852
      100.00      156.00       28.00       44.00    -1845.1690        2.4900        0.1247       -0.1480        0.1921
      100.00      156.00       28.00       48.00    -1840.7770        2.5350        0.2470       -0.4004        0.7158
      100.00      156.00       28.00       52.00    -1836.3520        0.9321        0.2367       -0.4138        0.7452
      100.00      156.00       28.00       56.00    -1834.3310        0.8608        0.1150       -0.1992        0.3654
      100.00      156.00       28.00       60.00    -1829.4970        0.8595        0.1214       -0.2103        0.3766
      100.00      156.00       32.00        0.00    -1891.4720        1.7299        0.2141        0.0000        0.1386
      100.00      156.00       32.00        4.00    -1888.8430        1.6027        0.1943       -0.0424        0.2610
      100.00      156.00       32.00        8.00    -1879.5320        1.1312        0.1898       -0.0875        0.5377
      100.00      156.00       32.00       12.00    -1869.8300        1.0047        0.0908        0.0108        0.6266
      100.00      156.00       32.00       16.00    -1862.7120        0.9797        0.1075       -0.1469        0.7031
      100.00      156.00       32.00       20.00    -1846.2070        1.4696        0.1015       -0.1599        0.2791
      100.00      156.00       32.00       24.00    -1843.3690        1.0841        0.1032       -0.0965        0.4492
      100.00      156.00       32.00       28.00    -1841.1370        0.7504        0.1931       -0.3954        1.0510
      100.00      156.00       32.00       32.00    -1834.6230        0.7836        0.1141       -0.1692        0.5056
      100.00      156.00       32.00       36.00    -1826.5510        0.7404        0.1340       -0.2226        0.5840
      100.00      156.00       32.00       40.00    -1847.1180        2.5685        0.1603       -0.1807        0.2136
      100.00      156.00       32.00       44.00    -1846.8920        2.5095        0.1299       -0.1438        0.1699
      100.00      156.00       32.00       48.00    -1844.3800        2.5436        0.1421       -0.2137        0.4042
      100.00      156.00       32.00       52.00    -1839.0930        0.6972        0.3091       -0.5268        0.9240
      100.00      156.00       32.00       56.00    -1836.7170        0.9154        0.1825       -0.3146        0.5603
      100.00      156.00       32.00       60.00    -1834.0230        0.8529        0.1014       -0.1735        0.3117
      100.00      156.00       36.00        0.00    -1891.0470        1.2768        0.2248        0.0000        0.1331
      100.00      156.00       36.00        4.00    -1889.8140        1.4466        0.1791        0.0118        0.2051
      100.00      156.00       36.00        8.00    -1883.0300        1.2243        0.2240       -0.0191        0.2085
      100.00      156.00       36.00       12.00    -1872.4700        0.9502        0.1111       -0.1083        0.9649
      100.00      156.00       36.00       16.00    -1864.5000        1.0289        0.0775       -0.0710        0.3987
      100.00      156.00       36.00       20.00    -1847.7390        1.5440        0.0914       -0.0154        0.2267
      100.00      156.00       36.00       24.00    -1843.9480        1.1991        0.1172       -0.1484        0.5399
      100.00      156.00       36.00       28.00    -1842.7790        0.7919        0.1401       -0.2977        0.7579
      100.00      156.00       36.00       32.00    -1836.8770        0.7634        0.1509       -0.2793        0.6990
      100.00      156.00       36.00       36.00    -1829.8900        0.7857        0.1009       -0.1463        0.3950
      100.00      156.00       36.00       40.00    -1848.2060        2.5195        0.1746       -0.1940        0.2251
      100.00      156.00       36.00       44.00    -1847.8950        2.6001        0.1609       -0.1784        0.2073
      100.00      156.00       36.00       48.00    -1846.3090        2.5563        0.0997       -0.1400        0.2810
      100.00      156.00       36.00       52.00    -1842.5980        0.8699        0.2593       -0.4269        0.7355
      100.00      156.00       36.00       56.00    -1838.0450        0.9397        0.1952       -0.3401        0.6027
      100.00      156.00       36.00       60.00    -1836.8020        0.8898        0.1222       -0.2093        0.3684
      100.00      156.00       40.00        0.00    -1889.4560        1.1262        0.1659        0.0000        0.1410
