       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      158.00        8.00       44.00    -1838.6350        0.8956        0.1249       -0.2353        0.4733
      100.00      158.00        8.00       48.00    -1832.7190        0.7919        0.1392       -0.2669        0.5349
      100.00      158.00        8.00       52.00    -1827.4180        0.7333        0.1256       -0.2380        0.4778
      100.00      158.00        8.00       56.00    -1821.2420        0.7933        0.0843       -0.1467        0.3174
      100.00      158.00        8.00       60.00    -1815.0150        1.7576        0.1084       -0.1925        0.4159
      100.00      158.00       12.00        0.00    -1886.4840        2.0880        0.0704        0.0000        0.5563
      100.00      158.00       12.00        4.00    -1884.4870        1.2893        0.0925       -0.0199        0.4599
      100.00      158.00       12.00        8.00    -1880.4220        1.3276        0.1037       -0.1449        1.0930
      100.00      158.00       12.00       12.00    -1876.7550        1.0463        0.0839       -0.1191        0.9420
      100.00      158.00       12.00       16.00    -1859.0680        1.0833        0.0579       -0.0817        0.2642
      100.00      158.00       12.00       20.00    -1859.6660        0.8350        0.1163       -0.2401        0.8534
      100.00      158.00       12.00       24.00    -1851.0380        0.8536        0.0836       -0.1767        0.5156
      100.00      158.00       12.00       28.00    -1852.0380        0.7069        0.1234       -0.2223        0.4498
      100.00      158.00       12.00       32.00    -1853.3950        2.2228        0.1450       -0.1749        0.2319
      100.00      158.00       12.00       36.00    -1851.8110        2.2016        0.2523       -0.3009        0.3745
      100.00      158.00       12.00       40.00    -1847.0390        2.4339        0.1917       -0.2111        0.5474
      100.00      158.00       12.00       44.00    -1844.2250        0.8271        0.3733       -0.6867        1.2930
      100.00      158.00       12.00       48.00    -1839.4020        0.8780        0.1299       -0.2374        0.4601
      100.00      158.00       12.00       52.00    -1834.0500        2.8858        0.1787       -0.3339        0.6446
      100.00      158.00       12.00       56.00    -1828.4540        0.6723        0.1527       -0.2825        0.5445
      100.00      158.00       12.00       60.00    -1822.2070        0.7545        0.0857       -0.1505        0.3053
      100.00      158.00       16.00        0.00    -1890.3250        2.1112        0.0834        0.0000        0.3857
      100.00      158.00       16.00        4.00    -1886.7910        1.3759        0.1100       -0.0164        0.4024
      100.00      158.00       16.00        8.00    -1881.5730        1.2513        0.0828       -0.1284        0.7116
      100.00      158.00       16.00       12.00    -1876.8760        0.9326        0.0908       -0.2008        0.9562
      100.00      158.00       16.00       16.00    -1857.5840        1.1417        0.0843       -0.1380        0.2987
      100.00      158.00       16.00       20.00    -1856.6870        0.8516        0.0791       -0.0512        0.8020
      100.00      158.00       16.00       24.00    -1853.9820        0.9853        0.0646       -0.1330        0.4359
      100.00      158.00       16.00       28.00    -1844.0150        0.9792        0.1496       -0.3009        0.8101
      100.00      158.00       16.00       32.00    -1854.6650        2.2637        0.1068       -0.1264        0.1661
      100.00      158.00       16.00       36.00    -1854.2960        2.3052        0.1460       -0.1788        0.2370
      100.00      158.00       16.00       40.00    -1850.8860        2.3377        0.2384       -0.2840        0.3538
      100.00      158.00       16.00       44.00    -1845.1600        0.8580        0.1702       -0.3036        0.5785
      100.00      158.00       16.00       48.00    -1843.2680        0.8940        0.1095       -0.1980        0.3821
      100.00      158.00       16.00       52.00    -1837.8020        0.8377        0.1242       -0.2253        0.4317
      100.00      158.00       16.00       56.00    -1833.7340        0.7477        0.1539       -0.2823        0.5368
      100.00      158.00       16.00       60.00    -1826.8760        0.7298        0.1012       -0.1814        0.3525
      100.00      158.00       20.00        0.00    -1894.9380        2.1330        0.0770        0.0000        0.2705
      100.00      158.00       20.00        4.00    -1890.1280        1.4082        0.1224       -0.0824        0.5315
      100.00      158.00       20.00        8.00    -1883.2400        1.1632        0.0644       -0.0935        0.4584
      100.00      158.00       20.00       12.00    -1877.3740        0.9401        0.1029       -0.2512        1.0870
      100.00      158.00       20.00       16.00    -1857.6970        1.3048        0.0848       -0.1379        0.2709
      100.00      158.00       20.00       20.00    -1856.9870        1.0810        0.0556       -0.0901        0.1774
      100.00      158.00       20.00       24.00    -1853.1880        0.8078        0.0973       -0.1637        0.3231
      100.00      158.00       20.00       28.00    -1847.5230        0.9569        0.1037       -0.1744        0.6541
      100.00      158.00       20.00       32.00    -1837.6660        0.9819        0.1553       -0.2943        0.7715
      100.00      158.00       20.00       36.00    -1856.1510        2.3198        0.1020       -0.1182        0.1511
      100.00      158.00       20.00       40.00    -1855.0080        2.3835        0.1514       -0.1816        0.2327
      100.00      158.00       20.00       44.00    -1850.6840        2.4499        0.2405       -0.3399        0.7148
      100.00      158.00       20.00       48.00    -1846.5350        0.9181        0.2540       -0.4528        0.8318
      100.00      158.00       20.00       52.00    -1843.8370        0.8937        0.0934       -0.1651        0.3141
      100.00      158.00       20.00       56.00    -1837.9360        0.8079        0.1224       -0.2187        0.4044
      100.00      158.00       20.00       60.00    -1834.1710        0.7319        0.1592       -0.2857        0.5287
      100.00      158.00       24.00        0.00    -1898.9890        2.0459        0.0824        0.0000        0.2024
      100.00      158.00       24.00        4.00    -1894.3000        1.3031        0.1319       -0.0918        0.4142
      100.00      158.00       24.00        8.00    -1885.3500        1.1291        0.0567       -0.0733        0.3910
      100.00      158.00       24.00       12.00    -1878.2610        1.0420        0.1081       -0.2092        1.0750
      100.00      158.00       24.00       16.00    -1858.5450        1.4435        0.0826       -0.1359        0.2484
      100.00      158.00       24.00       20.00    -1854.6620        0.8516        0.0967       -0.1547        0.2673
      100.00      158.00       24.00       24.00    -1854.0240        0.8552        0.0742       -0.1188        0.4565
      100.00      158.00       24.00       28.00    -1850.2660        0.8472        0.1067       -0.1583        0.6260
      100.00      158.00       24.00       32.00    -1841.1450        0.8360        0.1454       -0.2536        0.7222
      100.00      158.00       24.00       36.00    -1856.7920        2.3705        0.1523       -0.1767        0.2175
      100.00      158.00       24.00       40.00    -1856.8780        2.3840        0.1069       -0.1263        0.1641
      100.00      158.00       24.00       44.00    -1854.0360        2.4726        0.1425       -0.1810        0.4349
      100.00      158.00       24.00       48.00    -1847.1410        0.9397        0.2132       -0.3776        0.6926
      100.00      158.00       24.00       52.00    -1846.3960        0.9005        0.1738       -0.3068        0.5619
      100.00      158.00       24.00       56.00    -1842.9160        0.8446        0.1214       -0.2136        0.3947
      100.00      158.00       24.00       60.00    -1837.6780        0.6853        0.1826       -0.3251        0.5956
      100.00      158.00       28.00        0.00    -1901.9000        1.9060        0.1110        0.0000        0.1807
      100.00      158.00       28.00        4.00    -1898.1190        1.4018        0.1641       -0.0899        0.3282
      100.00      158.00       28.00        8.00    -1888.0420        1.1885        0.1249       -0.1577        0.7501
      100.00      158.00       28.00       12.00    -1879.8180        1.1174        0.1035       -0.0303        0.7211
      100.00      158.00       28.00       16.00    -1860.1330        1.1312        0.1030       -0.1626        0.2720
      100.00      158.00       28.00       20.00    -1856.9790        1.4172        0.1181       -0.1902        0.3272
      100.00      158.00       28.00       24.00    -1854.9780        1.0204        0.0781       -0.0897        0.4217
      100.00      158.00       28.00       28.00    -1849.5060        0.8856        0.0951       -0.1594        0.2824
      100.00      158.00       28.00       32.00    -1844.4330        0.7680        0.1170       -0.1769        0.5613
      100.00      158.00       28.00       36.00    -1857.5850        2.3363        0.1556       -0.1781        0.2157
      100.00      158.00       28.00       40.00    -1858.0080        2.4007        0.1407       -0.1591        0.1906
      100.00      158.00       28.00       44.00    -1857.2890        2.4909        0.1128       -0.1334        0.1734
      100.00      158.00       28.00       48.00    -1853.4410        2.5095        0.2703       -0.4361        0.7778
      100.00      158.00       28.00       52.00    -1848.0960        0.9517        0.3043       -0.5339        0.9578
      100.00      158.00       28.00       56.00    -1846.7140        0.8981        0.1677       -0.2916        0.5265
      100.00      158.00       28.00       60.00    -1842.8140        0.8227        0.1361       -0.2367        0.4264
      100.00      158.00       32.00        0.00    -1903.2920        1.6685        0.1868        0.0000        0.1505
      100.00      158.00       32.00        4.00    -1900.6280        1.5816        0.1769       -0.0550        0.2583
      100.00      158.00       32.00        8.00    -1891.3280        1.1908        0.1927       -0.0978        0.5441
      100.00      158.00       32.00       12.00    -1881.8890        1.1056        0.0920        0.0317        0.5729
      100.00      158.00       32.00       16.00    -1862.0490        1.0489        0.0825       -0.1273        0.2099
      100.00      158.00       32.00       20.00    -1857.9780        1.5145        0.0946       -0.1477        0.2584
      100.00      158.00       32.00       24.00    -1854.9150        1.1801        0.1039       -0.1096        0.4494
      100.00      158.00       32.00       28.00    -1850.4100        0.8908        0.0757       -0.1244        0.2222
      100.00      158.00       32.00       32.00    -1847.2120        0.7906        0.1158       -0.1770        0.5276
      100.00      158.00       32.00       36.00    -1855.2180        1.9636        0.0980       -0.1623        0.2828
      100.00      158.00       32.00       40.00    -1858.7240        2.4543        0.1519       -0.1709        0.2022
      100.00      158.00       32.00       44.00    -1858.5420        2.4266        0.1324       -0.1461        0.1717
      100.00      158.00       32.00       48.00    -1856.5500        2.5880        0.1077       -0.1529        0.3087
      100.00      158.00       32.00       52.00    -1851.5930        0.8447        0.2707       -0.4485        0.7766
      100.00      158.00       32.00       56.00    -1848.6820        0.9270        0.1975       -0.3418        0.6087
      100.00      158.00       32.00       60.00    -1846.6430        0.8676        0.0992       -0.1700        0.3062
      100.00      158.00       36.00        0.00    -1902.7650        1.2108        0.2088        0.0000        0.1418
      100.00      158.00       36.00        4.00    -1901.4800        1.2750        0.1693       -0.0019        0.1940
      100.00      158.00       36.00        8.00    -1894.5440        1.1666        0.2264       -0.0401        0.2505
      100.00      158.00       36.00       12.00    -1884.1030        0.8614        0.1104       -0.0961        0.9245
      100.00      158.00       36.00       16.00    -1876.2900        1.0333        0.0741       -0.0510        0.3853
      100.00      158.00       36.00       20.00    -1859.6100        1.5717        0.0765       -0.1041        0.1900
      100.00      158.00       36.00       24.00    -1855.4810        1.2686        0.1120       -0.1470        0.5176
      100.00      158.00       36.00       28.00    -1850.5980        0.9416        0.0801       -0.1291        0.2269
      100.00      158.00       36.00       32.00    -1849.4530        0.7805        0.1577       -0.2942        0.7429
      100.00      158.00       36.00       36.00    -1842.5140        0.7817        0.1093       -0.1624        0.4368
      100.00      158.00       36.00       40.00    -1860.2060        2.4909        0.1728       -0.1918        0.2223
      100.00      158.00       36.00       44.00    -1859.5370        2.4427        0.1537       -0.1705        0.1993
      100.00      158.00       36.00       48.00    -1858.0380        2.4735        0.1045       -0.1403        0.2944
      100.00      158.00       36.00       52.00    -1855.0170        0.8721        0.4174       -0.6933        1.1820
      100.00      158.00       36.00       56.00    -1849.7820        0.9462        0.1980       -0.3462        0.6156
      100.00      158.00       36.00       60.00    -1849.0160        0.8967        0.1328       -0.2282        0.4020
      100.00      158.00       40.00        0.00    -1901.2190        1.1223        0.1615        0.0000        0.1476
      100.00      158.00       40.00        4.00    -1901.1120        1.1548        0.1648        0.0115        0.1509
      100.00      158.00       40.00        8.00    -1896.6880        1.1745        0.1948       -0.0226        0.1670
      100.00      158.00       40.00       12.00    -1886.9650        0.8042        0.1021       -0.0615        0.6832
      100.00      158.00       40.00       16.00    -1878.2720        0.9718        0.0688       -0.1098        0.5002
      100.00      158.00       40.00       20.00    -1862.4390        1.6136        0.0995       -0.1205        0.2234
      100.00      158.00       40.00       24.00    -1864.9250        0.9094        0.0925       -0.1618        0.4927
      100.00      158.00       40.00       28.00    -1851.8450        0.9674        0.0979       -0.1550        0.2727
      100.00      158.00       40.00       32.00    -1851.4300        0.7882        0.1900       -0.3914        0.9079
      100.00      158.00       40.00       36.00    -1845.3370        0.8148        0.1013       -0.1523        0.3856
      100.00      158.00       40.00       40.00    -1861.0880        2.6423        0.1380       -0.1466        0.1649
      100.00      158.00       40.00       44.00    -1861.1800        2.5249        0.1774       -0.1959        0.2249
      100.00      158.00       40.00       48.00    -1860.0450        2.3979        0.1534       -0.1673        0.1932
      100.00      158.00       40.00       52.00    -1858.0840        0.8251        0.0857       -0.1298        0.2381
      100.00      158.00       40.00       56.00    -1854.7160        0.8691        0.5792       -0.9507        1.5860
      100.00      158.00       40.00       60.00    -1850.7450        0.9356        0.1852       -0.3174        0.5530
      100.00      158.00       44.00        0.00    -1899.3490        1.0577        0.1051        0.0000        0.2002
      100.00      158.00       44.00        4.00    -1900.0180        1.2360        0.1476        0.0415        0.1664
      100.00      158.00       44.00        8.00    -1897.9150        1.3133        0.1624       -0.0155        0.1355
      100.00      158.00       44.00       12.00    -1890.3440        0.8857        0.0995       -0.0229        0.3141
      100.00      158.00       44.00       16.00    -1880.5630        0.9228        0.0822       -0.1727        0.6336
      100.00      158.00       44.00       20.00    -1865.5370        1.6653        0.1404       -0.0835        0.2190
      100.00      158.00       44.00       24.00    -1859.0880        1.2060        0.0583       -0.0353        0.1494
      100.00      158.00       44.00       28.00    -1852.7930        0.9085        0.1005       -0.1581        0.2738
      100.00      158.00       44.00       32.00    -1853.1790        0.7913        0.1356       -0.2541        0.6484
      100.00      158.00       44.00       36.00    -1847.7960        0.7962        0.1719       -0.3196        0.7159
      100.00      158.00       44.00       40.00    -1841.5130        0.8258        0.0956       -0.1362        0.3291
      100.00      158.00       44.00       44.00    -1862.0430        2.6703        0.1431       -0.1512        0.1680
      100.00      158.00       44.00       48.00    -1860.0557        2.1149        0.1552       -0.1673        0.1486
      100.00      158.00       44.00       52.00    -1859.6940        2.1441        0.1552       -0.1696        0.1983
      100.00      158.00       44.00       56.00    -1857.4940        0.8943        0.1370       -0.2193        0.3758
      100.00      158.00       44.00       60.00    -1851.4170        0.9639        0.2052       -0.3513        0.6103
      100.00      158.00       48.00        0.00    -1897.8920        0.9958        0.1223       -0.0000        0.1948
      100.00      158.00       48.00        4.00    -1898.5240        1.2373        0.1181        0.0027        0.1643
      100.00      158.00       48.00        8.00    -1898.4020        1.4749        0.1259       -0.0307        0.1149
      100.00      158.00       48.00       12.00    -1893.1900        1.0505        0.1129       -0.0473        0.2470
      100.00      158.00       48.00       16.00    -1883.1020        0.9505        0.0719       -0.1384        0.5317
      100.00      158.00       48.00       20.00    -1873.7820        0.9036        0.0671       -0.0964        0.3821
      100.00      158.00       48.00       24.00    -1861.1930        1.1436        0.0659       -0.0744        0.2176
      100.00      158.00       48.00       28.00    -1854.1360        0.8695        0.0707       -0.1093        0.1947
      100.00      158.00       48.00       32.00    -1854.9690        0.8214        0.0750       -0.1000        0.3384
      100.00      158.00       48.00       36.00    -1850.0160        0.8328        0.2022       -0.3561        0.8380
      100.00      158.00       48.00       40.00    -1844.2050        0.8048        0.1090       -0.1704        0.3805
      100.00      158.00       48.00       44.00    -1851.1878        1.8169        0.1148       -0.1403        0.2372
      100.00      158.00       48.00       48.00    -1858.2331        1.6492        0.1250       -0.1631        0.2086
      100.00      158.00       48.00       52.00    -1858.8018        1.9123        0.1860       -0.2501        0.3595
      100.00      158.00       48.00       56.00    -1857.1972        0.6776       -0.1124        0.1860       -0.2927
      100.00      158.00       48.00       60.00    -1849.6989        0.9931        0.2410       -0.4228        0.7591
      100.00      158.00       52.00        0.00    -1897.3590        1.0760        0.0790        0.0000        0.1150
      100.00      158.00       52.00        4.00    -1897.7060        1.3668        0.0914       -0.0375        0.1245
      100.00      158.00       52.00        8.00    -1898.0980        1.4728        0.1051       -0.0416        0.1100
      100.00      158.00       52.00       12.00    -1895.1120        1.1693        0.1116       -0.0468        0.1722
      100.00      158.00       52.00       16.00    -1885.8160        0.9833        0.0523       -0.0379        0.2743
      100.00      158.00       52.00       20.00    -1875.3610        0.8560        0.0751       -0.1044        0.4240
      100.00      158.00       52.00       24.00    -1864.0930        1.1874        0.1008       -0.1543        0.4045
      100.00      158.00       52.00       28.00    -1855.9140        0.9018        0.0488       -0.0741        0.1350
      100.00      158.00       52.00       32.00    -1849.0640        0.9993        0.0898       -0.1406        0.2299
      100.00      158.00       52.00       36.00    -1844.7720        1.0214        0.1075       -0.1704        0.2768
      100.00      158.00       52.00       40.00    -1846.7100        0.8412        0.2200       -0.3779        0.8140
      100.00      158.00       52.00       44.00    -1841.0040        0.8401        0.0992       -0.1487        0.3242
      100.00      158.00       52.00       48.00    -1855.7210        1.0820        0.0941       -0.1661        0.3041
      100.00      158.00       52.00       52.00    -1857.1930        1.0049        0.1235       -0.2146        0.3825
      100.00      158.00       52.00       56.00    -1856.5413        0.5310       -0.0240        0.0354       -0.0452
      100.00      158.00       52.00       60.00    -1851.4780        0.9881        0.2220       -0.3889        0.7056
      100.00      158.00       56.00        0.00    -1896.7600        1.1522        0.1171        0.0000        0.0848
      100.00      158.00       56.00        4.00    -1896.9240        1.3777        0.1105       -0.0183        0.1464
      100.00      158.00       56.00        8.00    -1897.1080        1.2108        0.0966       -0.0377        0.1452
      100.00      158.00       56.00       12.00    -1896.0350        1.1482        0.0973       -0.0427        0.1337
      100.00      158.00       56.00       16.00    -1888.4330        1.0024        0.0596       -0.0015        0.1558
      100.00      158.00       56.00       20.00    -1877.5630        0.9188        0.0760       -0.1150        0.4737
      100.00      158.00       56.00       24.00    -1869.2950        1.1709        0.0881       -0.0655        0.1377
      100.00      158.00       56.00       28.00    -1859.4470        0.9393        0.0675       -0.1012        0.1824
      100.00      158.00       56.00       32.00    -1851.5250        0.9884        0.0557       -0.0853        0.1393
      100.00      158.00       56.00       36.00    -1845.9630        1.1265        0.0993       -0.1542        0.2451
      100.00      158.00       56.00       40.00    -1849.2040        0.8878        0.1780       -0.2802        0.6179
      100.00      158.00       56.00       44.00    -1843.4280        0.7604        0.1210       -0.2001        0.4214
      100.00      158.00       56.00       48.00    -1853.7335        0.5534        0.0847       -0.1797        0.3700
      100.00      158.00       56.00       52.00    -1857.3720        1.0788        0.1003       -0.1742        0.3125
      100.00      158.00       56.00       56.00    -1858.6280        0.9874        0.1213       -0.2056        0.3567
      100.00      158.00       56.00       60.00    -1859.4270        0.9395        0.1135       -0.1796        0.3005
      100.00      158.00       60.00        0.00    -1896.3580        1.2040        0.0889        0.0000        0.0735
      100.00      158.00       60.00        4.00    -1896.5430        1.2904        0.1095       -0.0800        0.1624
      100.00      158.00       60.00        8.00    -1896.5550        0.9994        0.0858       -0.0073        0.1548
      100.00      158.00       60.00       12.00    -1896.1400        1.0502        0.1018       -0.0585        0.1296
      100.00      158.00       60.00       16.00    -1890.6630        0.9543        0.1002       -0.0281        0.1252
      100.00      158.00       60.00       20.00    -1878.8140        1.8223        0.1765       -0.1210        0.1548
      100.00      158.00       60.00       24.00    -1872.6060        0.9214        0.1052       -0.1526        0.2552
      100.00      158.00       60.00       28.00    -1862.8780        0.9560        0.0676       -0.1011        0.1626
      100.00      158.00       60.00       32.00    -1860.4440        0.8148        0.1070       -0.1768        0.4294
      100.00      158.00       60.00       36.00    -1846.1890        0.9934        0.0876       -0.1326        0.2111
      100.00      158.00       60.00       40.00    -1851.3980        0.7677        0.0872       -0.1255        0.2841
      100.00      158.00       60.00       44.00    -1846.1460        0.9139        0.2294       -0.3860        0.7871
      100.00      158.00       60.00       48.00    -1853.7665        0.4369        0.0836       -0.1759        0.3557
      100.00      158.00       60.00       52.00    -1860.6897        1.6358        0.0822       -0.1005        0.1378
      100.00      158.00       60.00       56.00    -1864.7064        2.2719        0.1159       -0.1929        0.3472
      100.00      158.00       60.00       60.00    -1860.9231        0.9586        0.0983       -0.1569        0.2574
      100.00      158.00       64.00        0.00    -1895.4150        1.2969        0.0571       -0.0000        0.0645
      100.00      158.00       64.00        4.00    -1895.6880        1.2988        0.0930       -0.0541        0.1210
      100.00      158.00       64.00        8.00    -1896.1530        0.9269        0.1082        0.0119        0.1515
      100.00      158.00       64.00       12.00    -1896.4650        1.0157        0.0970       -0.0551        0.1310
      100.00      158.00       64.00       16.00    -1892.6240        1.0103        0.1362       -0.0677        0.1246
      100.00      158.00       64.00       20.00    -1883.5750        0.9936        0.0607       -0.0342        0.1567
      100.00      158.00       64.00       24.00    -1874.7770        0.9248        0.1181       -0.1686        0.2814
      100.00      158.00       64.00       28.00    -1866.6580        0.9449        0.0896       -0.1334        0.2088
      100.00      158.00       64.00       32.00    -1855.1170        0.8812        0.0899       -0.1277        0.2326
      100.00      158.00       64.00       36.00    -1847.9010        1.0154        0.0750       -0.1111        0.1741
      100.00      158.00       64.00       40.00    -1853.2450        0.7556        0.0787       -0.1242        0.2611
      100.00      158.00       64.00       44.00    -1848.7530        0.8414        0.1254       -0.1925        0.3909
      100.00      158.00       64.00       48.00    -1857.3860        1.1644        0.0688       -0.1187        0.2146
      100.00      158.00       64.00       52.00    -1863.9854        2.2996        0.0662       -0.0381       -0.0056
      100.00      158.00       64.00       56.00    -1868.6151        3.3772        0.0455       -0.0664        0.1449
      100.00      158.00       64.00       60.00    -1860.0870        1.0338        0.1113       -0.1855        0.3170
      100.00      158.00       68.00        0.00    -1893.7910        1.4054        0.0336        0.0000        0.0550
      100.00      158.00       68.00        4.00    -1894.1790        1.3434        0.0443       -0.0130        0.0792
      100.00      158.00       68.00        8.00    -1895.2270        0.9095        0.0804       -0.0107        0.1366
      100.00      158.00       68.00       12.00    -1896.7180        1.0038        0.0666       -0.0206        0.0986
      100.00      158.00       68.00       16.00    -1894.4070        1.1529        0.1128       -0.0696        0.1058
      100.00      158.00       68.00       20.00    -1886.7710        0.8995        0.0760       -0.0499        0.1558
      100.00      158.00       68.00       24.00    -1877.4400        0.8615        0.0840       -0.1233        0.3399
      100.00      158.00       68.00       28.00    -1871.5000        0.8312        0.0649       -0.1098        0.2852
      100.00      158.00       68.00       32.00    -1865.0240        0.8606        0.0757       -0.1182        0.2896
      100.00      158.00       68.00       36.00    -1852.2230        1.1683        0.0695       -0.0789        0.2417
      100.00      158.00       68.00       40.00    -1854.7900        0.7943        0.0825       -0.1319        0.2757
      100.00      158.00       68.00       44.00    -1850.9020        0.7553        0.0764       -0.1175        0.2378
      100.00      158.00       68.00       48.00    -1862.0350        2.5717        0.0445       -0.0431        0.0531
      100.00      158.00       68.00       52.00    -1862.9720        2.8697        0.0683       -0.0603        0.0613
      100.00      158.00       68.00       56.00    -1862.3400        2.9885        0.0692       -0.0874        0.1643
      100.00      158.00       68.00       60.00    -1862.7860        0.9767        0.0802       -0.1198        0.1973
      100.00      158.00       72.00        0.00    -1890.9340        1.9799        0.0698       -0.0000        0.0649
      100.00      158.00       72.00        4.00    -1890.5640        1.5550        0.0626       -0.0047        0.0793
      100.00      158.00       72.00        8.00    -1893.6030        1.0018        0.0508       -0.0090        0.1176
      100.00      158.00       72.00       12.00    -1896.1120        1.0369        0.0581       -0.0197        0.0900
      100.00      158.00       72.00       16.00    -1895.6930        1.3139        0.0799       -0.0583        0.0951
      100.00      158.00       72.00       20.00    -1889.6590        0.8224        0.1020       -0.0782        0.2111
      100.00      158.00       72.00       24.00    -1880.5170        0.9365        0.0834       -0.0894        0.1900
      100.00      158.00       72.00       28.00    -1872.9900        1.1051        0.1249       -0.0343        0.0715
      100.00      158.00       72.00       32.00    -1867.2510        0.8659        0.0634       -0.1010        0.2347
      100.00      158.00       72.00       36.00    -1853.9300        0.9381        0.0884       -0.1297        0.2134
      100.00      158.00       72.00       40.00    -1856.1560        0.8194        0.1257       -0.1815        0.3648
      100.00      158.00       72.00       44.00    -1852.6560        0.7852        0.0778       -0.1208        0.2425
      100.00      158.00       72.00       48.00    -1855.9800        2.4745        0.0699       -0.1165        0.2387
      100.00      158.00       72.00       52.00    -1857.2530        2.7618        0.0891       -0.1662        0.3311
      100.00      158.00       72.00       56.00    -1849.5280        0.9023        0.1952       -0.2876        0.4762
      100.00      158.00       72.00       60.00    -1862.7129        0.4638        0.1441       -0.2487        0.4598
      100.00      158.00       76.00        0.00    -1891.7420        1.9978        0.0860        0.0000        0.0664
      100.00      158.00       76.00        4.00    -1890.7700        1.5864        0.0790       -0.0050        0.0696
      100.00      158.00       76.00        8.00    -1891.5050        1.0641        0.0457       -0.0135        0.0995
      100.00      158.00       76.00       12.00    -1894.6220        1.0803        0.0512       -0.0222        0.0928
      100.00      158.00       76.00       16.00    -1896.0390        1.3104        0.0625       -0.0517        0.0998
      100.00      158.00       76.00       20.00    -1892.0420        0.9744        0.1055       -0.0657        0.1539
