Q20,Q30,Q40
1.609937584180239298e+02,4.000000163900285344e+00,3.062188495427234258e+01
1.614901109478680610e+02,3.999999508814847449e+00,3.104528165350838975e+01
1.620112996105301306e+02,3.999996450279102334e+00,3.143863201408999331e+01
1.625624313993019427e+02,3.999999449850500710e+00,3.178975418983157297e+01
1.631478200313937350e+02,3.999994715735310624e+00,3.208131600142392159e+01
1.637368677307556482e+02,3.999995545210249581e+00,3.236639033266087750e+01
1.643369213186456648e+02,3.999994450373603794e+00,3.262857516157507121e+01
1.649537091563382205e+02,3.999999989058417249e+00,3.284979861065470175e+01
1.655865842802664645e+02,3.999999859985079009e+00,3.302130817729267420e+01
1.662303279117699049e+02,3.999996787782572394e+00,3.314856446571287307e+01
1.668799894763155294e+02,3.999998050172690611e+00,3.324488331857982359e+01
1.675322509842750662e+02,4.000000055829004530e+00,3.332658514357632384e+01
1.681850752928438624e+02,3.999999236752964205e+00,3.340844683121351721e+01
1.688370733041615779e+02,3.999999190514494707e+00,3.350025595133914891e+01
1.694867177418306312e+02,3.999999248361610693e+00,3.360954693607562405e+01
1.701327494967059977e+02,4.000000043738058508e+00,3.373909631284864474e+01
1.707742300890631384e+02,3.999997769555790228e+00,3.388864464359077999e+01
1.714107225876331029e+02,3.999999375236576782e+00,3.405575448324601950e+01
1.720423058900289561e+02,3.999997907744995196e+00,3.423666928854984803e+01
1.726684419471062881e+02,4.000000677696812446e+00,3.443035535015218329e+01
1.731219613378049189e+02,4.446301453635933321e+00,3.457877489086605749e+01
1.734713219301868321e+02,4.984725204740724003e+00,3.468959881332504125e+01
1.738097322910201967e+02,5.527431092670886947e+00,3.479055095681861332e+01
1.741580744170330775e+02,6.058831582003871397e+00,3.489001758412725707e+01
1.745254957965139795e+02,6.570690483710443175e+00,3.499412102055508456e+01
1.749186322102436577e+02,7.054689689536059127e+00,3.510950617013587305e+01
1.753432664388194553e+02,7.499901597034754452e+00,3.524426911430925458e+01
1.758019725490574672e+02,7.893011729631404627e+00,3.540784470290432040e+01
1.762871710517156316e+02,8.226988347511753119e+00,3.560864334261140840e+01
1.768065125369487873e+02,8.459053809294530879e+00,3.585313191599933447e+01
1.773316136951025612e+02,8.616231341386193066e+00,3.613521635808339738e+01
1.778427119930606182e+02,8.738393376544994595e+00,3.645271385328456404e+01
1.783295526507812383e+02,8.858698033567016239e+00,3.680258364449748143e+01
1.787889120143491652e+02,8.993111427224301124e+00,3.717906312295362881e+01
1.792207191446624392e+02,9.146119188822341428e+00,3.757632556314914041e+01
1.796260321211843802e+02,9.317250804568079303e+00,3.798976088110262594e+01
1.800059490665887267e+02,9.504446424951867201e+00,3.841619152082727595e+01
1.803761432210358464e+02,9.700697756716582631e+00,3.884322519578193322e+01
1.807377370021416141e+02,9.901980713651251875e+00,3.927136537851573905e+01
1.810922465349005392e+02,1.010475951863100974e+01,3.970076556657525657e+01
1.814413345026019044e+02,1.030622154565046422e+01,4.013123812480840513e+01
1.817884363583958987e+02,1.050599822632767477e+01,4.056009522099408571e+01
1.821347613712557347e+02,1.070483924380870633e+01,4.098596515182430977e+01
1.824816202864433308e+02,1.090488682579954727e+01,4.140671376623949129e+01
1.828305199450442444e+02,1.110943848481705842e+01,4.181937219024472796e+01
1.831831618753857640e+02,1.132223628997969378e+01,4.222026326840335742e+01
1.835412821783511390e+02,1.154615380957929816e+01,4.260556671849037258e+01
1.839064447827673803e+02,1.178165093227222648e+01,4.297237970650547823e+01
1.842798921507187515e+02,1.202568205273700386e+01,4.332004336039973680e+01
1.846615996221383682e+02,1.228241946522357431e+01,4.364382591570751657e+01
1.850533163439154407e+02,1.254189296034230416e+01,4.394761491359541594e+01
1.854561420175986370e+02,1.279614144979121448e+01,4.423538305061443765e+01
1.858706136007356235e+02,1.303901180015074424e+01,4.451048495194217480e+01
1.862966970458320759e+02,1.326601696125093710e+01,4.477539681057739074e+01
1.867337456610653419e+02,1.347441228459417140e+01,4.503169757836699461e+01
1.871805376283788007e+02,1.366339742771424426e+01,4.528015979790584566e+01
1.876354803517645564e+02,1.383417083569719352e+01,4.552087164793065455e+01
1.880970043076742684e+02,1.398946316825946212e+01,4.575330920684766056e+01
1.885581763618023956e+02,1.413829618198924543e+01,4.598449332344387130e+01
1.890186905138515101e+02,1.428428878969992333e+01,4.621266468944696015e+01
1.894783984470200835e+02,1.442989281542525326e+01,4.643658765300141056e+01
1.899374085988015679e+02,1.457609884243868947e+01,4.665543433793619954e+01
1.903960763777268426e+02,1.472257175482023861e+01,4.686870915285520311e+01
1.908549715362670440e+02,1.486804797160227309e+01,4.707608817247496091e+01
1.913147641911572521e+02,1.501075654807097948e+01,4.727735255559476713e+01
1.917761074689820759e+02,1.514881992808450129e+01,4.747231586092024003e+01
1.922395377974117423e+02,1.528060421145378811e+01,4.766075608012810250e+01
1.927051792739653706e+02,1.540523552486612857e+01,4.784279836007141284e+01
1.931733346879399278e+02,1.552211045289568325e+01,4.801783624015542529e+01
1.936387077476183265e+02,1.563017090615604587e+01,4.820038442297862247e+01
1.941018173188990659e+02,1.573024650347194786e+01,4.838831354779387084e+01
1.945631151706209039e+02,1.582327568544716812e+01,4.857993439406823200e+01
1.950230054663626333e+02,1.591026830051590935e+01,4.877387735684865078e+01
1.954818693815883535e+02,1.599231543027766023e+01,4.896896926643295700e+01
1.959400903459138874e+02,1.607071994201528753e+01,4.916407967467743845e+01
