destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000011.hel	True	0.00228	108.000028	5.999388	14.559184	8.222073	6.925557	6.802013	4.210345	0.01082	-0.003865	0.02525	-1875.844628	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000008.hel	100	154	108.0	6.0	0.973	0.084	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000012.hel	False	0.13934	319.998828	5.933339	98.644263	12.265108	89.686408	16.702333	78.02275	0.001962	-0.0003421	0.006334	-1887.66444	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000010.hel	100	154	320.0	6.0	2.882	0.084	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000013.hel	False	0.050936	319.963661	4.015634	99.456246	8.285369	91.276439	11.387154	80.154829	0.001888	-0.0002184	0.006192	-1887.169401	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000011.hel	100	154	320.0	4.0	2.882	0.056	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000014.hel	True	0.000444	320.001683	1.998105	337.278529	3.005717	1837.991524	590.266977	10997.477317	0.000391	9.308e-05	0.0005373	-1833.446966	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000013.hel	100	154	320.0	2.0	2.882	0.028	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000015.hel	False	0.126097	321.937888	11.918478	99.774679	24.388213	92.256713	33.383808	83.019111	0.002069	-0.0006109	0.006223	-1889.836843	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000015.hel	100	154	322.0	12.0	2.9	0.168	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000016.hel	True	0.001315	107.994586	17.9959	37.906638	64.44245	127.568658	261.394693	538.029899	0.008937	-0.01172	0.01853	-1854.057836	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000012.hel	100	154	108.0	18.0	0.973	0.252	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000017.hel	True	0.000121	100.001722	26.00036	27.623056	57.767251	19.754244	25.893511	102.324648	0.5639	1.615	4.675	-1637.96685	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000001.hel	100	154	100.0	26.0	0.901	0.365	False	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000001.hel	True	1.5e-05	100.000686	17.999505	20.585426	19.381418	18.339785	18.040246	17.357206	0.008606	-0.008539	0.02874	-1865.670825	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000013.hel	100	154	100.0	18.0	0.901	0.252	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000002.hel	False	0.138728	91.938792	31.978518	25.991266	50.246064	4.20713	44.841687	103.639561	0.00609	-0.001213	0.04236	-1626.898675	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_008/p154_100_000001.hel	100	154	92.0	32.0	0.829	0.449	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000003.hel	False	0.223174	330.180609	12.069479	98.550209	24.304287	87.031378	32.563496	75.340912	0.002318	-0.0007509	0.007438	-1894.368477	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_007/p154_100_000008.hel	100	154	330.0	12.0	2.972	0.168	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000004.hel	False	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000003.hel	100	154	330.0	10.0	2.972	0.14	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000005.hel	False	0.282069	330.029976	8.169607	104.881891	17.113934	98.772779	24.086946	89.548791	0.001924	-0.000431	0.006154	-1888.89191	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000004.hel	100	154	330.0	8.0	2.972	0.112	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000006.hel	True	0.000724	93.998152	13.999328	16.418331	14.003922	12.40196	11.528641	10.27453	0.007448	-0.006201	0.02874	-1867.227785	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000002.hel	100	154	94.0	14.0	0.847	0.196	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000007.hel	False	0.00359	330.029905	6.012405	105.575123	12.874457	100.036676	18.41721	91.07374	0.001868	-0.0003203	0.00608	-1888.368882	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000006.hel	100	154	330.0	6.0	2.972	0.084	False	True	False
