Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	12.0	96.0	0.04745	0.004465	0.02898	0.06088	0.002051	0.09158	167.42208699999992
0.0	12.0	104.0	0.03957	0.02469	0.03262	0.03609	0.02824	0.04106	186.21337999999992
0.0	12.0	112.0	0.03457	0.004771	0.03287	0.0415	0.0004636	0.065	195.76905499999998
0.0	12.0	120.0	0.03583	0.003764	0.02791	0.04543	0.001046	0.07082	204.30676099999982
0.0	12.0	128.0	0.02744	0.002086	0.03613	0.03307	0.005164	0.05843	211.339201
0.0	12.0	136.0	0.05442	0.006596	0.03281	0.07001	0.00183	0.1061	215.73542699999985
0.0	12.0	144.0	0.04536	0.00579	0.03759	0.05718	0.006399	0.09051	221.39766699999996
0.0	12.0	152.0	0.06349	0.006809	0.03523	0.08463	0.01128	0.131	228.40683999999987
0.0	12.0	160.0	0.05415	0.005064	0.03193	0.06944	0.009983	0.1067	237.0895089999999
0.0	12.0	168.0	0.02736	0.003353	0.03688	0.03114	0.005869	0.05644	247.230008
0.0	12.0	176.0	0.02519	0.0006101	0.02929	0.02986	0.003017	0.05075	258.1177089999999
0.0	12.0	184.0	0.01565	0.0005229	0.03674	0.01653	0.0007967	0.03556	268.7274229999998
0.0	12.0	192.0	0.01545	0.004892	0.03731	0.01395	0.003791	0.02958	277.73921599999994
0.0	12.0	200.0	0.0162	0.004452	0.03948	0.01495	0.004649	0.03145	286.1767309999998
0.0	16.0	0.0	0.04067	0.1176	0.7212	0.01011	0.1169	0.09835	45.516832999999906
0.0	16.0	8.0	0.03714	0.04806	0.5629	0.01275	0.2068	0.1676	33.88622999999984
0.0	16.0	16.0	0.03637	0.06492	0.3271	0.0008696	0.1127	0.08749	44.62945500000001
0.0	16.0	24.0	0.02269	0.03184	0.1463	0.005211	0.04506	0.04024	47.41477399999985
0.0	16.0	32.0	0.05538	0.02289	0.1512	0.05516	0.05844	0.1172	59.12779599999999
0.0	16.0	40.0	0.07434	0.004782	0.02625	0.09251	0.009425	0.1263	77.40201200000001
0.0	16.0	48.0	0.09241	0.006677	0.07783	0.07291	0.02167	0.08565	83.11039299999993
0.0	16.0	56.0	0.09393	0.0434	0.04295	0.08918	0.0505	0.09332	93.00985500000002
0.0	16.0	64.0	0.06716	0.008758	0.04836	0.0811	0.007488	0.1184	109.88861999999995
0.0	16.0	72.0	0.0434	0.0006273	0.02314	0.05587	0.005223	0.08236	127.48457999999982
0.0	16.0	80.0	0.04334	0.00325	0.02047	0.05618	0.007239	0.08227	139.72390999999993
0.0	16.0	88.0	0.04206	0.004633	0.02293	0.05437	0.008063	0.08003	152.0616869999999
0.0	16.0	96.0	0.04456	0.004305	0.02391	0.0579	0.005618	0.0863	168.90022999999997
0.0	16.0	104.0	0.03908	0.01018	0.04944	0.0466	0.001313	0.07742	188.42760799999996
0.0	16.0	112.0	0.03586	0.002363	0.03355	0.0436	0.001286	0.0685	194.7082929999999
0.0	16.0	120.0	0.03409	0.002829	0.02625	0.04262	0.001974	0.06568	204.15473599999996
0.0	16.0	128.0	0.02196	0.0001266	0.02213	0.0275	0.0006376	0.0452	211.47499599999992
0.0	16.0	136.0	0.05186	0.003295	0.03458	0.06964	0.005373	0.1106	216.3281159999999
0.0	16.0	144.0	0.04018	0.005055	0.03965	0.0498	0.005387	0.08139	222.08836499999984
0.0	16.0	152.0	0.06011429843805256	0.00841346572557171	0.03671031464467511	0.07699496360140701	0.008987871533390696	0.11689737596214958	228.3057931796584
0.0	16.0	160.0	0.04264291932163868	0.004637882651271698	0.0360912024944445	0.05113289065446009	0.0076654268000341435	0.07932501972625472	235.9262899206733
0.0	16.0	168.0	0.03193041109329618	0.0035068563709940988	0.035844012238415296	0.036832981754378005	0.006192405846527352	0.06125010805338875	244.96227417222713
0.0	16.0	176.0	0.032524352575038315	0.0006127986640517991	0.03652457909280501	0.03776379351720105	0.00272898137085594	0.06233052824606422	255.8870118771838
0.0	16.0	184.0	0.039422590358618864	0.003287314084137282	0.0324320489739713	0.044934313890052494	0.002685498483958087	0.06736894978908876	282.8489998058867
0.0	16.0	192.0	0.03414	0.0005873	0.03123	0.04099	0.0004466	0.067	469.547108
0.0	16.0	200.0	0.02902	0.0008797	0.0308	0.03331	0.001479	0.05674	473.026022
